0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, weight
80.1, 40.91, 76.87, 63.19, 46.1, 22.42, 35.26, 70.86, 15.47, 10.01, 13.72, 0.69, 48.94, 42.94, 5.08, 10.19, 273.22, 81.65, 290.39, 16.52, 11.42, 2.91, 0.87, 5.33, 446.85, 225.69, 373.72, 40.77, 24.26, 25.01, 92.66, 20.74, 299.9, 129.16, 197.61, 58.19, 29.06, 23.4, 73.13, 30.03, 104.39, 52.7, 66.12, 39.31, 6.21, 22.44, 53.28, 56.43, 0.0
102.87, 63.9, 60.08, 70.88, 37.94, 32.06, 58.27, 61.82, 50.92, 25.94, 46.03, 57.3, 47.42, 50.62, 43.96, 34.72, 215.42, 87.36, 209.4, 42.35, 31.13, 38.22, 54.66, 57.02, 386.68, 180.51, 319.75, 59.42, 41.36, 52.92, 87.8, 51.82, 196.09, 132.01, 151.04, 79.82, 68.93, 66.71, 77.74, 51.85, 105.76, 98.71, 78.64, 84.1, 85.82, 86.3, 87.47, 92.16, 0.0
52.99, 50.76, 65.13, 88.53, 46.76, 45.81, 71.2, 24.08, 17.47, 7.33, 50.27, 59.63, 56.19, 39.93, 38.58, 14.47, 292.98, 129.3, 222.85, 16.81, 11.89, 12.94, 14.59, 40.25, 396.4, 233.54, 399.64, 19.72, 18.65, 21.52, 102.28, 41.72, 220.24, 175.7, 163.18, 72.73, 32.74, 45.62, 91.77, 52.56, 85.59, 118.88, 102.08, 91.89, 73.05, 80.22, 95.31, 99.92, 0.0
71.62, 32.97, 47.95, 66.07, 25.94, 32.41, 46.59, 21.79, 14.31, 3.62, 30.46, 43.7, 20.79, 25.79, 19.27, 2.86, 236.02, 138.77, 168.56, 17.84, 13.47, 2.45, 10.62, 27.52, 267.41, 164.69, 344.47, 39.49, 18.39, 20.28, 89.04, 31.59, 162.28, 146.18, 114.54, 41.52, 26.69, 28.33, 87.68, 40.32, 70.6, 113.5, 76.49, 41.39, 38.32, 42.08, 77.95, 97.59, 0.0
44.93, 24.26, 47.59, 50.82, 25.78, 25.43, 49.38, 45.71, 10.73, 8.72, 19.96, 13.66, 18.65, 4.64, 21.78, 15.34, 220.59, 161.77, 154.99, 12.97, 8.57, 0.39, 9.89, 30.14, 317.64, 197.71, 300.85, 34.13, 20.29, 21.58, 73.41, 34.35, 138.73, 173.36, 98.77, 45.61, 48.01, 51.36, 74.7, 28.36, 87.32, 114.79, 78.17, 49.98, 45.91, 58.9, 77.86, 112.83, 0.0
82.86, 60.88, 68.28, 81.0, 19.42, 20.76, 64.39, 30.18, 13.7, 19.06, 42.31, 48.01, 11.08, 33.38, 28.2, 11.75, 220.31, 167.67, 146.53, 20.31, 0.61, 14.76, 40.28, 23.74, 284.06, 230.23, 194.86, 54.4, 21.76, 22.62, 92.59, 37.94, 153.87, 191.39, 102.8, 64.84, 29.82, 57.48, 91.13, 49.27, 81.76, 86.32, 71.38, 46.24, 23.18, 76.22, 72.01, 127.32, 0.0
85.9, 47.83, 28.0, 70.34, 0.74, 26.52, 46.35, 17.58, 25.95, 4.78, 1.62, 2.81, 0.46, 9.88, 3.04, 5.41, 211.45, 175.0, 137.65, 25.05, 7.22, 6.91, 34.09, 21.65, 287.18, 317.94, 161.44, 54.7, 30.67, 40.2, 121.81, 38.96, 145.73, 233.89, 86.61, 45.69, 50.63, 29.88, 118.57, 57.64, 95.0, 97.38, 48.87, 28.49, 49.09, 52.6, 67.1, 123.29, 0.0
96.99, 32.66, 9.65, 26.87, 42.52, 33.32, 24.04, 53.05, 29.66, 9.71, 3.09, 24.98, 38.38, 49.33, 1.97, 3.99, 211.07, 170.54, 116.67, 13.7, 2.69, 0.56, 19.04, 36.44, 268.95, 268.4, 111.89, 35.29, 24.97, 38.67, 94.72, 45.47, 118.09, 237.22, 63.09, 25.94, 33.34, 41.25, 102.92, 44.94, 49.5, 153.57, 32.27, 11.3, 22.78, 74.26, 68.85, 132.22, 0.0
57.61, 34.02, 63.86, 75.48, 9.05, 13.62, 7.88, 37.15, 23.78, 13.41, 38.45, 20.01, 0.7, 0.16, 1.91, 7.31, 177.58, 183.42, 105.7, 14.64, 5.92, 4.46, 12.35, 20.68, 247.74, 320.39, 102.94, 33.79, 23.54, 27.07, 87.32, 45.14, 108.71, 228.23, 54.98, 25.7, 18.43, 21.22, 88.74, 44.85, 84.45, 182.21, 33.77, 33.06, 40.16, 22.17, 56.47, 120.1, 0.0
86.02, 49.83, 52.24, 71.71, 33.33, 35.73, 16.82, 18.34, 19.05, 6.7, 34.76, 39.1, 45.84, 30.85, 11.26, 2.42, 145.04, 228.69, 115.64, 15.62, 6.54, 0.5, 12.59, 24.88, 375.95, 394.57, 102.22, 42.34, 19.07, 13.59, 80.41, 35.66, 146.53, 264.62, 63.78, 29.07, 38.35, 12.21, 84.74, 42.23, 65.59, 129.4, 38.86, 16.81, 13.55, 24.29, 57.41, 133.97, 0.0
